date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:08	5429/5429	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2002:40:07%20GMT	https://yitsince1997.com/robots.txt		(from )
21:40:09	62955/62955	---MCZ	200	added ('OK')	text/html	etag:%22pebswku95z1ckb%22	https://yitsince1997.com/	~/Documents/Leyla/sample-website/yitsince1997.com/index.html	(from )
21:40:09	7992/7992	---M--	200	added ('OK')	font/woff2	etag:%22e5c13d18b2dc8f5ebe9ecd68cfeeb2dd-ssl%22	https://yitsince1997.com/_next/static/media/0484562807a97172-s.p.woff2	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/media/0484562807a97172-s.p.woff2	(from https://yitsince1997.com/)
21:40:10	7844/7844	---M--	200	added ('OK')	font/woff2	etag:%22ae206953e99aca07e51037076fb5e283-ssl%22	https://yitsince1997.com/_next/static/media/4c285fdca692ea22-s.p.woff2	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/media/4c285fdca692ea22-s.p.woff2	(from https://yitsince1997.com/)
21:40:11	7740/7740	---M--	200	added ('OK')	font/woff2	etag:%22ee5c1f56500f8cb9edf5b4b650350ac0-ssl%22	https://yitsince1997.com/_next/static/media/8888a3826f4a3af4-s.p.woff2	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/media/8888a3826f4a3af4-s.p.woff2	(from https://yitsince1997.com/)
21:40:12	7848/7848	---M--	200	added ('OK')	font/woff2	etag:%2283db726f8afb6221ecc8d82fed25c66e-ssl%22	https://yitsince1997.com/_next/static/media/b957ea75a84b6ea7-s.p.woff2	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/media/b957ea75a84b6ea7-s.p.woff2	(from https://yitsince1997.com/)
21:40:13	7900/7900	---M--	200	added ('OK')	font/woff2	etag:%22b4a30394555eda82b394b2b3f2704b72-ssl%22	https://yitsince1997.com/_next/static/media/eafabf029ad39a43-s.p.woff2	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/media/eafabf029ad39a43-s.p.woff2	(from https://yitsince1997.com/)
21:40:15	21612/21612	---MCZ	200	added ('OK')	text/css	etag:%227784690e62658c6c4aa4e211c6020145-ssl-df%22	https://yitsince1997.com/_next/static/css/96e810cb91acc031.css	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/css/96e810cb91acc031.css	(from https://yitsince1997.com/)
21:40:16	2333/2333	---MCZ	200	added ('OK')	text/css	etag:%22a119411a6d27da3e46b5e132f31bb666-ssl-df%22	https://yitsince1997.com/_next/static/css/15cbae759d1218d5.css	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/css/15cbae759d1218d5.css	(from https://yitsince1997.com/)
21:40:17	3427/3427	---MCZ	200	added ('OK')	application/javascript	etag:%2234f80e795961ce4d5d1f1d97a24cbb0e-ssl-df%22	https://yitsince1997.com/_next/static/chunks/webpack-bcd64728a9638242.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/webpack-bcd64728a9638242.js	(from https://yitsince1997.com/)
21:40:18	167090/167090	---MCZ	200	added ('OK')	application/javascript	etag:%220eb339c6025e58dcf3cfcc248016af85-ssl-df%22	https://yitsince1997.com/_next/static/chunks/4bd1b696-b085869443a89ac3.js	~/Documents/Leyla/sample-website/yitsince1997.com/_next/static/chunks/4bd1b696-b085869443a89ac3.js	(from https://yitsince1997.com/)
